Date,Open,High,Low,Close,Adj Close,Volume
1997-01-01,6447.500000,6906.600098,6352.830078,6813.089844,6813.089844,1003920000
1997-02-01,6810.799805,7073.620117,6710.720215,6877.740234,6877.740234,765900000
1997-03-01,6874.299805,7112.100098,6561.200195,6583.479980,6583.479980,962230000
1997-04-01,6583.500000,7057.549805,6356.779785,7009.000000,7009.000000,1098930000
1997-05-01,7008.990234,7394.950195,6913.470215,7331.000000,7331.000000,1046600000
1997-06-01,7331.000000,7834.060059,7253.779785,7672.799805,7672.799805,1086740000
1997-07-01,7678.000000,8282.769531,7667.359863,8222.599609,8222.599609,1265280000
1997-08-01,8222.799805,8299.490234,7606.859863,7622.399902,7622.399902,1123190000
1997-09-01,7631.700195,8035.629883,7580.850098,7945.299805,7945.299805,1212550000
1997-10-01,7948.500000,8184.700195,6971.069824,7442.100098,7442.100098,1605030000
1997-11-01,7445.799805,7881.069824,7349.990234,7823.100098,7823.100098,1068290000
1997-12-01,7825.120117,8166.290039,7576.930176,7908.299805,7908.299805,1156060000
1998-01-01,7910.200195,8035.540039,7443.410156,7906.500000,7906.500000,1324260000
1998-02-01,7909.990234,8566.889648,7909.990234,8545.719727,8545.719727,1031480000
1998-03-01,8544.469727,8959.240234,8405.719727,8799.809570,8799.809570,1191880000
1998-04-01,8801.559570,9213.330078,8748.740234,9063.370117,9063.370117,1387960000
1998-05-01,9066.610352,9261.910156,8788.099609,8899.950195,8899.950195,1075240000
1998-06-01,8900.950195,9104.719727,8569.879883,8952.019531,8952.019531,1287570000
1998-07-01,8958.990234,9367.839844,8816.089844,8883.290039,8883.290039,1413670000
1998-08-01,8883.290039,8886.120117,7539.069824,7539.069824,7539.069824,1641660000
1998-09-01,7545.759766,8182.470215,7400.299805,7842.620117,7842.620117,1897140000
1998-10-01,7841.330078,8659.809570,7467.490234,8592.099609,8592.099609,1916330000
1998-11-01,8595.700195,9380.200195,8595.700195,9116.549805,9116.549805,1389030000
1998-12-01,9116.549805,9334.879883,8676.030273,9181.429688,9181.429688,1507520000
1999-01-01,9184.009766,9647.959961,9063.259766,9358.830078,9358.830078,1746490000
1999-02-01,9359.599609,9611.330078,9099.040039,9306.580078,9306.580078,1545220000
1999-03-01,9307.389648,10085.309570,9211.230469,9786.160156,9786.160156,1993040000
1999-04-01,9786.440430,10961.709961,9765.629883,10789.040039,10789.040039,2096500000
1999-05-01,10789.040039,11130.669922,10434.259766,10559.740234,10559.740234,1842620000
1999-06-01,10561.009766,11003.410156,10409.139648,10970.799805,10970.799805,1766990000
1999-07-01,10966.049805,11252.269531,10647.860352,10655.150391,10655.150391,1672190000
1999-08-01,10654.830078,11365.929688,10549.080078,10829.280273,10829.280273,1857760000
1999-09-01,10828.440430,11142.410156,10081.129883,10336.950195,10336.950195,1751910000
1999-10-01,10335.690430,10790.019531,9976.019531,10729.860352,10729.860352,2203030000
1999-11-01,10730.780273,11112.769531,10536.269531,10877.809570,10877.809570,3250890000
1999-12-01,10876.469727,11568.769531,10859.650391,11497.120117,11497.120117,3166150000
2000-01-01,11501.849609,11750.280273,10701.639648,10940.530273,10940.530273,3854530000
2000-02-01,10937.740234,11118.929688,9836.059570,10128.309570,10128.309570,3661120000
2000-03-01,10128.110352,11234.650391,9731.809570,10921.919922,10921.919922,4754630000
2000-04-01,10863.280273,11425.450195,10201.530273,10733.910156,10733.910156,4049750000
